data,time,deviceNum
129,564039,1
111,666611,3
4173,563911,4
6,666682,3
1,563987,4
7,564146,2
4,666753,3
366,564055,4
97,666819,3
789,564123,4
23,666889,3
741,564212,4
1641,564299,4
103,564369,4
4,564450,4
230,564518,4
27,564591,4
12,564663,4
235,564732,4
421,564798,4
29,564883,4
427,564973,4
1325,565066,4
10069,565146,4
1372,565220,4
2271,565309,4
1491,565396,4
21,565464,4
3319,565558,4
1847,565639,4
3689,565736,4
4858,565828,4
1736,565912,4
319,566004,4
3213,566113,4
11268,566216,4
5192,567075,1
2528,669804,3
682,669889,3
1842,670013,3
1952,670096,3
14,670720,3
