data,time,deviceNum
392,670598,2
591,670630,1
123,773201,3
84,670458,4
30,670704,1
29,670543,4
10559,670646,4
12107,670737,4
15572,670839,4
19609,670933,4
60655,671215,4
199,672782,1
40,775414,3
26,672690,4
2119,672870,1
27,775491,3
13785,672780,4
2,672953,2
2123,672989,1
173,775562,3
49738,672931,4
146,775795,3
49708,673062,4
218,775863,3
472,673142,4
1283,775957,3
21,776040,3
51,776128,3
140,776210,3
327,776307,3
342,776430,3
833,776524,3
1245,776630,3
1461,776733,3
1459,776842,3
8619,776988,3
